RowNum,Session Id,Game Id,Balance Value,Team Balance Value,Red Team K/D Ratio,Blue Team K/D Ratio,The red team,Neither team,The blue team,The red team,Neither team,The blue team,Yes,Unsure,No
1,3,9,0.03095238,0.8292683,1.411765,0.7083333,0,2,4,0,6,0,2,4,0
2,3,10,0.6277778,0.7333333,1.727273,0.5789474,4,1,0,3,2,0,2,0,3
3,3,11,0.1428571,0.6486486,2.083333,0.48,6,0,0,1,5,0,1,0,5
4,3,12,0.7722222,0.75,1.666667,0.6,6,0,0,1,0,5,3,1,2
